10b6c8f2-c468-11ea-ba01-ac1f6b2cd28a,Медовик из кафе «Хачапури»,41.8
fc3edf38-c3fc-11ea-b344-0242ac1c0002,Запеченная свиная рулька с обжаренным картофелем и тушеной квашеной капустой,26.0
6d4dceec-c3f7-11ea-ba01-ac1f6b2cd28a,Ирландский коктейль,6.0
ef1f374e-c3f2-11ea-a7a3-0242ac1c0002,Гребешки с тунцом на плато из картофеля,65.78
833be0a2-c3ef-11ea-ba01-ac1f6b2cd28a,"Салат с ветчиной, яйцами и сыром",14.0
bd19cfa6-c466-11ea-ba01-ac1f6b2cd28a,Пирог из ревеня и клубники,36.0
4b78422e-c222-11ea-9c18-ac1f6b2cd28a,Вареный омлет в мешке,6.0
5ca47d7a-c474-11ea-ba01-ac1f6b2cd28a,Домашняя шоколадная колбаса,15.0
530cb20a-c3e8-11ea-ba01-ac1f6b2cd28a,Гороховый крем-суп с луком-пореем и крутонами,15.17
6bba0aae-c498-11ea-ba01-ac1f6b2cd28a,Замороженный черничный йогурт,18.75
b54e0d22-c421-11ea-ba01-ac1f6b2cd28a,Лосось малосольный в укропе,6.25
1166f56e-c3fb-11ea-b8df-0242ac1c0002,Соус с шампиньонами и картофелем,18.33
2ecf3c60-c3f6-11ea-9f7f-0242ac1c0002,Ножка кролика в брусничном соусе,138.0
af3f0b8c-c3e7-11ea-ba01-ac1f6b2cd28a,Салат с рукколой и пармезаном,12.0
8c4a9c68-c3f6-11ea-ba01-ac1f6b2cd28a,Абрикосовый смузи,8.0
3d5db352-c3eb-11ea-ba01-ac1f6b2cd28a,Суп «Витаминка»,21.0
f009729e-c22d-11ea-9c18-ac1f6b2cd28a,Даши,5.5
288a73fe-c420-11ea-ba01-ac1f6b2cd28a,Пицца с горгонзолой и грушей на слоеном тесте,8.4
8df44fce-c490-11ea-ba01-ac1f6b2cd28a,"Слойки с тыквой, яблоками и корицей",42.17
5d585dd8-c47c-11ea-ba01-ac1f6b2cd28a,Шоколадно-банановый хлеб,33.0
a2c8700a-c3e7-11ea-ba01-ac1f6b2cd28a,Тост с бычьими хвостами,42.67
6fc46a12-c3ef-11ea-a7a3-0242ac1c0002,Конвертики из рисовой бумаги с фаршем и картофелем,16.0
3602e230-c468-11ea-ba01-ac1f6b2cd28a,Жареные пирожки посикунчики,39.6
28671e70-c3eb-11ea-ba01-ac1f6b2cd28a,Сливочный тыквенный суп с ароматными травами,51.0
9e5e84da-c411-11ea-ba01-ac1f6b2cd28a,Медовая дыня с пармской ветчиной и хрустящей рукколой,20.17
483a63c6-c4a7-11ea-ba01-ac1f6b2cd28a,Шоколадно-морковные кексы,90.0
8595467e-c41f-11ea-ba01-ac1f6b2cd28a,Запеченные фаршированные баклажаны с хрустящей корочкой,39.6
3d26d3b8-c41e-11ea-ba01-ac1f6b2cd28a,Салат свежий с креветками и авокадо,24.0
12831104-c404-11ea-b8df-0242ac1c0002,Оджахури из свинины,31.2
f3893bb0-c46d-11ea-ba01-ac1f6b2cd28a,Чесночно-апельсиновое оливковое масло,9.0
d10ffb42-c22d-11ea-9c18-ac1f6b2cd28a,Прозрачный куриный бульон,64.0
